Wavelength (nm),Colloid solution,1 drop of NaCl,2 drops of NaCl,3 drops of NaCl,4 drops of NaCl,5 drops of NaCl
607,0.636,0.84,1.098,1.604,1.533,1.345
607.5,0.629,0.834,1.094,1.603,1.534,1.346
608,0.621,0.828,1.089,1.601,1.534,1.346
608.5,0.614,0.822,1.085,1.6,1.534,1.347
609,0.607,0.816,1.08,1.598,1.535,1.348
609.5,0.6,0.81,1.076,1.597,1.535,1.348
610,0.593,0.804,1.071,1.596,1.535,1.349
610.5,0.586,0.798,1.067,1.595,1.536,1.35
611,0.579,0.793,1.063,1.593,1.536,1.35
611.5,0.572,0.787,1.059,1.592,1.536,1.351
612,0.566,0.782,1.054,1.591,1.537,1.352
612.5,0.559,0.776,1.05,1.589,1.537,1.352
613,0.552,0.771,1.046,1.588,1.537,1.353
613.5,0.546,0.765,1.042,1.587,1.538,1.354
614,0.54,0.76,1.038,1.585,1.538,1.355
614.5,0.533,0.755,1.034,1.584,1.539,1.355
615,0.527,0.75,1.03,1.582,1.539,1.356
615.5,0.521,0.745,1.026,1.581,1.539,1.357
616,0.515,0.74,1.022,1.58,1.54,1.357
616.5,0.51,0.735,1.019,1.578,1.54,1.358
617,0.504,0.73,1.015,1.577,1.54,1.359
617.5,0.499,0.726,1.012,1.576,1.541,1.359
618,0.493,0.721,1.008,1.574,1.541,1.36
618.5,0.488,0.717,1.005,1.573,1.542,1.361
619,0.482,0.712,1.001,1.571,1.542,1.362
619.5,0.477,0.708,0.998,1.57,1.542,1.363
620,0.472,0.704,0.995,1.569,1.543,1.363
620.5,0.467,0.7,0.991,1.567,1.543,1.364
621,0.463,0.696,0.988,1.566,1.543,1.365
621.5,0.458,0.691,0.985,1.565,1.544,1.366
622,0.453,0.688,0.982,1.563,1.544,1.366
622.5,0.448,0.684,0.979,1.562,1.545,1.367
623,0.443,0.68,0.976,1.561,1.545,1.368
623.5,0.439,0.676,0.973,1.559,1.546,1.369
624,0.434,0.672,0.97,1.558,1.546,1.369
624.5,0.43,0.668,0.967,1.556,1.546,1.37
625,0.425,0.664,0.964,1.555,1.547,1.371
625.5,0.421,0.661,0.961,1.553,1.547,1.372
626,0.417,0.657,0.958,1.552,1.547,1.372
626.5,0.413,0.654,0.955,1.551,1.548,1.373
627,0.409,0.65,0.953,1.549,1.548,1.374
627.5,0.404,0.647,0.95,1.548,1.549,1.375
628,0.4,0.643,0.947,1.546,1.549,1.375
628.5,0.396,0.64,0.944,1.545,1.549,1.376
629,0.392,0.636,0.941,1.543,1.55,1.377
629.5,0.388,0.633,0.939,1.542,1.55,1.378
630,0.385,0.63,0.936,1.54,1.551,1.378
630.5,0.381,0.627,0.934,1.539,1.551,1.379
631,0.377,0.623,0.931,1.537,1.552,1.38
631.5,0.373,0.62,0.929,1.536,1.552,1.381
632,0.37,0.617,0.926,1.534,1.552,1.382
632.5,0.366,0.614,0.924,1.533,1.553,1.382
633,0.363,0.611,0.921,1.531,1.553,1.383
633.5,0.359,0.608,0.919,1.53,1.553,1.384
634,0.355,0.605,0.916,1.528,1.554,1.385
634.5,0.352,0.602,0.914,1.527,1.554,1.386
635,0.348,0.599,0.912,1.525,1.555,1.386
635.5,0.345,0.596,0.909,1.523,1.555,1.387
636,0.342,0.593,0.907,1.522,1.555,1.388
636.5,0.338,0.591,0.904,1.52,1.556,1.389
637,0.335,0.588,0.902,1.519,1.556,1.39
637.5,0.332,0.585,0.9,1.517,1.556,1.39
638,0.329,0.582,0.898,1.515,1.557,1.391
638.5,0.326,0.58,0.896,1.514,1.557,1.392
639,0.323,0.577,0.893,1.512,1.557,1.393
639.5,0.32,0.575,0.891,1.511,1.558,1.393
640,0.317,0.572,0.889,1.509,1.558,1.394
